mandi_pair,distance_km,fuel_needed_4kmpl,fuel_cost_95,toll,maintenance,hamali,crates_120piece_150perpiece,Kanta_300_per_mandi,Bhatta,Total expense,average_per_km,,
From Haryana-Gurgaon-Gurgaon APMC to Punjab-Ropar (Rupnagar)-Ropar APMC,315,78.75,7481.25,1575,945,1600,18000,600,515,30716.25,97.51190476,,
From Maharashtra-Nashik-Nasik APMC to Maharashtra-Raigad-Panvel APMC,155,38.75,3681.25,775,465,1600,18000,600,355,25476.25,164.3629032,,
From Madhya Pradesh-Shivpuri-Barad APMC to Punjab-Bhatinda-Bathinda APMC,680,170,16150,3400,2040,1600,18000,600,880,42670,62.75,,
From Maharashtra-Chandrapur-Chandrapur(Ganjwad) APMC to Maharashtra-Raigad-Panvel APMC,840,210,19950,4200,2520,1600,18000,600,1040,47910,57.03571429,,
From Rajasthan-Udaipur-Udaipur (F&V) APMC to Punjab-Ropar (Rupnagar)-Ropar APMC,870,217.5,20662.5,4350,2610,1600,18000,600,1070,48892.5,56.19827586,,
From Karnataka-Kolar-Mulabagilu APMC to Maharashtra-Raigad-Panvel APMC,1020,255,24225,5100,3060,1600,18000,600,1220,53805,52.75,,
From Maharashtra-Ahmednagar-Sangamner APMC to Maharashtra-Raigad-Panvel APMC,185,46.25,4393.75,925,555,1600,18000,600,385,26458.75,143.0202703,,
From Rajasthan-Ajmer-Ajmer(F&V) APMC to Punjab-Ropar (Rupnagar)-Ropar APMC,630,157.5,14962.5,3150,1890,1600,18000,600,830,41032.5,65.13095238,,
"From Gujarat-Anand-Anand(Veg,Yard,Anand) APMC to Punjab-Ropar (Rupnagar)-Ropar APMC",1240,310,29450,6200,3720,1600,18000,600,1440,61010,49.2016129,,
From Madhya Pradesh-Shivpuri-Barad APMC to Haryana-Rewari-Rewari APMC,410,102.5,9737.5,2050,1230,1600,18000,600,610,33827.5,82.50609756,,
From Maharashtra-Jalgaon-Jalgaon APMC to Maharashtra-Raigad-Panvel APMC,410,102.5,9737.5,2050,1230,1600,18000,600,610,33827.5,82.50609756,,
From Haryana-Panipat-Panipat APMC to Maharashtra-Raigad-Panvel APMC,1520,380,36100,7600,4560,1600,18000,600,1720,70180,46.17105263,,
From Madhya Pradesh-Shivpuri-Barad APMC to Rajasthan-Bikaner-Bikaner (F&V) APMC,620,155,14725,3100,1860,1600,18000,600,820,40705,65.65322581,,
From Maharashtra-Chattrapati Sambhajinagar-Chattrapati Sambhajinagar APMC to Maharashtra-Raigad-Panvel APMC,340,85,8075,1700,1020,1600,18000,600,540,31535,92.75,,
From Haryana-Rewari-Rewari APMC to Punjab-Ropar (Rupnagar)-Ropar APMC,340,85,8075,1700,1020,1600,18000,600,540,31535,92.75,,
From Madhya Pradesh-Shivpuri-Barad APMC to Haryana-Gurgaon-Gurgaon APMC,435,108.75,10331.25,2175,1305,1600,18000,600,635,34646.25,79.64655172,,
From Karnataka-Kalburgi-Kalburgi APMC to Maharashtra-Raigad-Panvel APMC,530,132.5,12587.5,2650,1590,1600,18000,600,730,37757.5,71.24056604,,
From Gujarat-Bharuch-Bharuch APMC to Maharashtra-Raigad-Panvel APMC,360,90,8550,1800,1080,1600,18000,600,560,32190,89.41666667,,
From Karnataka-Kolar-Kolar APMC to Maharashtra-Raigad-Panvel APMC,980,245,23275,4900,2940,1600,18000,600,1180,52495,53.56632653,,
From Maharashtra-Nashik-Pimpalgaon APMC to Maharashtra-Raigad-Panvel APMC,195,48.75,4631.25,975,585,1600,18000,600,395,26786.25,137.3653846,,
From Rajasthan-Jaipur-Chomu FV APMC to Punjab-Ropar (Rupnagar)-Ropar APMC,520,130,12350,2600,1560,1600,18000,600,720,37430,71.98076923,,
From Maharashtra-Pune-Pune APMC to Maharashtra-Raigad-Panvel APMC,135,33.75,3206.25,675,405,1600,18000,600,335,24821.25,183.8611111,,
From Maharashtra-Amarawati-Amrawati(Frui & Veg. Market) APMC to Maharashtra-Raigad-Panvel APMC,660,165,15675,3300,1980,1600,18000,600,860,42015,63.65909091,,
From Maharashtra-Kolhapur-Kolhapur APMC to Maharashtra-Raigad-Panvel APMC,355,88.75,8431.25,1775,1065,1600,18000,600,555,32026.25,90.21478873,,
"From Gujarat-Gandhinagar-Kalol(Veg,Market,Kalol) APMC to Maharashtra-Raigad-Panvel APMC",560,140,13300,2800,1680,1600,18000,600,760,38740,69.17857143,,
From Madhya Pradesh-Shivpuri-Barad APMC to Haryana-Rohtak-Rohtak APMC,510,127.5,12112.5,2550,1530,1600,18000,600,710,37102.5,72.75,,
From Gujarat-Gir Somnath-Talalagir APMC to Gujarat-Porbandar-Porbandar APMC,195,48.75,4631.25,975,585,1600,18000,600,395,26786.25,137.3653846,,
From Gujarat-Dahod-Dahod(Veg. Market) APMC to Maharashtra-Raigad-Panvel APMC,530,132.5,12587.5,2650,1590,1600,18000,600,730,37757.5,71.24056604,,
"From Gujarat-Gandhinagar-Kalol(Veg,Market,Kalol) APMC to Karnataka-Bangalore-Binny Mill (F&V), Bangalore APMC",1540,385,36575,7700,4620,1600,18000,600,1740,70835,45.99675325,,
From Madhya Pradesh-Shivpuri-Barad APMC to Uttar Pradesh-Mirzapur-Ahirora APMC,670,167.5,15912.5,3350,2010,1600,18000,600,870,42342.5,63.19776119,,
From Gujarat-Mehsana-Mehsana(Mehsana Veg) APMC to Maharashtra-Raigad-Panvel APMC,610,152.5,14487.5,3050,1830,1600,18000,600,810,40377.5,66.19262295,,
From Maharashtra-Pune-Pune(Moshi) APMC to Maharashtra-Raigad-Panvel APMC,130,32.5,3087.5,650,390,1600,18000,600,330,24657.5,189.6730769,,
From Gujarat-Gir Somnath-Talalagir APMC to Andhra Pradesh-Chittor-Kalikiri APMC,1720,430,40850,8600,5160,1600,18000,600,1920,76730,44.61046512,,
From Madhya Pradesh-Shivpuri-Barad APMC to Rajasthan-Udaipur-Udaipur (F&V) APMC,440,110,10450,2200,1320,1600,18000,600,640,34810,79.11363636,,
From Gujarat-Rajkot-Gondal(Veg.market Gondal) APMC to Maharashtra-Raigad-Panvel APMC,680,170,16150,3400,2040,1600,18000,600,880,42670,62.75,,
"From Gujarat-Gir Somnath-Talalagir APMC to Haryana-Karnal-New Grain Market(main), Karnal APMC",1390,347.5,33012.5,6950,4170,1600,18000,600,1590,65922.5,47.42625899,,
From Maharashtra-Satara-Satara APMC to Maharashtra-Raigad-Panvel APMC,220,55,5225,1100,660,1600,18000,600,420,27605,125.4772727,,
From Maharashtra-Sholapur-Solapur APMC to Uttar Pradesh-Kanpur-Kanpur(Grain) APMC,1350,337.5,32062.5,6750,4050,1600,18000,600,1550,64612.5,47.86111111,,
"From Punjab-Jalandhar-Jalandhar City(Jalandhar) APMC to Haryana-Karnal-New Grain Market(main), Karnal APMC",245,61.25,5818.75,1225,735,1600,18000,600,445,28423.75,116.0153061,,
From Maharashtra-Pune-Khed(Chakan) APMC to Maharashtra-Raigad-Panvel APMC,120,30,2850,600,360,1600,18000,600,320,24330,202.75,,
"From Haryana-Faridabad-New Grain Market , Faridabad APMC to Punjab-Ropar (Rupnagar)-Ropar APMC",340,85,8075,1700,1020,1600,18000,600,540,31535,92.75,,
From Maharashtra-Nashik-Nasik APMC to Uttar Pradesh-Kanpur-Kanpur(Grain) APMC,1140,285,27075,5700,3420,1600,18000,600,1340,57735,50.64473684,,
From Maharashtra-Jalgaon-Jalgaon APMC to Karnataka-Mysore-Nanjangud APMC,1220,305,28975,6100,3660,1600,18000,600,1420,60355,49.47131148,,
From Maharashtra-Nagpur-Hingna APMC to Maharashtra-Raigad-Panvel APMC,810,202.5,19237.5,4050,2430,1600,18000,600,1010,46927.5,57.93518519,,
From Maharashtra-Sholapur-Solapur APMC to Karnataka-Mysore-Nanjangud APMC,675,168.75,16031.25,3375,2025,1600,18000,600,875,42506.25,62.97222222,,
From Maharashtra-Nashik-Nasik APMC to Karnataka-Mysore-Nanjangud APMC,1010,252.5,23987.5,5050,3030,1600,18000,600,1210,53477.5,52.9480198,,
From Karnataka-Shimoga-Shimoga APMC to Maharashtra-Raigad-Panvel APMC,680,170,16150,3400,2040,1600,18000,600,880,42670,62.75,,
From Karnataka-Kolar-Kolar APMC to Karnataka-Mysore-Nanjangud APMC,225,56.25,5343.75,1125,675,1600,18000,600,425,27768.75,123.4166667,,
From Maharashtra-Chattrapati Sambhajinagar-Chattrapati Sambhajinagar APMC to Karnataka-Mysore-Nanjangud APMC,995,248.75,23631.25,4975,2985,1600,18000,600,1195,52986.25,53.25251256,,
From Karnataka-Kolar-Chintamani APMC to Karnataka-Mysore-Nanjangud APMC,250,62.5,5937.5,1250,750,1600,18000,600,450,28587.5,114.35,,
From Gujarat-Gir Somnath-Talalagir APMC to Andhra Pradesh-Annamayya-Valmikipuram APMC,1640,410,38950,8200,4920,1600,18000,600,1840,74110,45.18902439,,
From Karnataka-Kolar-Mulabagilu APMC to Karnataka-Mysore-Nanjangud APMC,265,66.25,6293.75,1325,795,1600,18000,600,465,29078.75,109.7311321,,
From Gujarat-Gir Somnath-Talalagir APMC to Andhra Pradesh-Chittor-Madanapalli APMC,1630,407.5,38712.5,8150,4890,1600,18000,600,1830,73782.5,45.26533742,,
From Punjab-Jalandhar-Jalandhar City(Jalandhar) APMC to Andhra Pradesh-Chittor-Kalikiri APMC,2520,630,59850,12600,7560,1600,18000,600,2720,102930,40.8452381,,
From Gujarat-Navsari-Navsari APMC to Maharashtra-Raigad-Panvel APMC,245,61.25,5818.75,1225,735,1600,18000,600,445,28423.75,116.0153061,,
